Index,Movie,Distributor,Genre,7-day Gross,14-day Gross,Total US Gross,International Gross,US DVD Sales,Budget
133,Bobby,Weinstein Co.,Drama,$1Ê242Ê622,$7Ê204Ê245,$11Ê205Ê901,$8Ê667Ê942,$12Ê345Ê494,
134,Underdog,Buena Vista,Adventure,$18Ê290Ê912,$28Ê078Ê697,$43Ê760Ê605,$21Ê540Ê742,$38Ê478Ê972,
135,Flushed Away,Dreamworks SKG,Comedy,$23Ê220Ê769,$41Ê991Ê571,$64Ê665Ê672,$113Ê000Ê000,$70Ê937Ê146,$149Ê000Ê000
136,Jackass: Number Two,Paramount Pictures,Comedy,$37Ê465Ê379,$56Ê293Ê371,$72Ê778Ê712,$10Ê800Ê000,$49Ê039Ê094,$11Ê000Ê000
137,Confetti,Fox Searchlight,Romantic Comedy,$29Ê623,$190Ê312,$228Ê498,$4Ê506Ê731,,
138,The Invisible,Buena Vista,Thriller/Suspense,$9Ê221Ê338,$13Ê343Ê836,$20Ê568Ê319,$2Ê971Ê947,$13Ê668Ê418,
139,Borat,20th Century Fox,Comedy,$38Ê841Ê865,$76Ê154Ê492,$128Ê505Ê958,$133Ê066Ê786,$62Ê652Ê669,$18Ê000Ê000
140,Wild Hogs,Buena Vista,Comedy,$49Ê415Ê325,$85Ê167Ê997,$168Ê213Ê584,$84Ê800Ê000,$92Ê291Ê863,
141,The Grudge 2,Sony Pictures,Horror,$23Ê680Ê202,$32Ê715Ê981,$39Ê143Ê839,$29Ê500Ê000,$8Ê293Ê678,$20Ê000Ê000
142,Evening,Focus Features,Drama,,$9Ê668Ê000,$12Ê406Ê646,$478Ê928,,
143,The Invasion,Warner Bros.,Thriller/Suspense,$8Ê374Ê693,$12Ê611Ê955,$15Ê074Ê191,$25Ê072Ê851,$4Ê845Ê361,$80Ê000Ê000
144,The Good Shepherd,Universal,Drama,$24Ê065Ê985,$41Ê897Ê680,$59Ê908Ê565,$35Ê468Ê177,$33Ê880Ê479,
145,La Vie en Rose,PictureHouse,Drama,,$3Ê144Ê035,$10Ê299Ê782,$73Ê200Ê000,,$15Ê500Ê000
146,Fracture,New Line,Thriller/Suspense,$14Ê260Ê545,$23Ê032Ê218,$38Ê989Ê507,$50Ê200Ê000,$22Ê208Ê165,
147,Monster House,Sony Pictures,Adventure,,$50Ê951Ê765,$73Ê661Ê010,$66Ê500Ê000,$71Ê541Ê095,$75Ê000Ê000
148,Zoom,Sony Pictures,Adventure,$6Ê607Ê544,,$11Ê989Ê328,$516Ê860,$6Ê679Ê409,$35Ê000Ê000
149,Lucky You,Warner Bros.,Drama,$3Ê622Ê974,$5Ê329Ê749,$5Ê755Ê286,$766Ê543,$853Ê973,$55Ê000Ê000
150,1408,Miramax/Dimension,Horror,$29Ê779Ê254,$46Ê649Ê346,$71Ê985Ê628,$56Ê543Ê671,$49Ê635Ê451,$22Ê500Ê000
151,Bridge to Terabithia,Buena Vista,Drama,$32Ê648Ê034,$49Ê302Ê632,$82Ê234Ê139,$54Ê700Ê000,$41Ê355Ê482,$25Ê000Ê000
152,Apocalypto,Buena Vista,Adventure,$20Ê201Ê406,$31Ê724Ê156,$50Ê866Ê635,$66Ê918Ê416,$43Ê279Ê287,$40Ê000Ê000
153,Bratz,Lionsgate,Comedy,$6Ê146Ê369,,$10Ê010Ê209,$15Ê737Ê014,$39Ê102Ê832,
154,My Super Ex-Girlfriend,20th Century Fox,Comedy,,$19Ê118Ê663,$22Ê530Ê295,$38Ê000Ê000,,
155,Bug,Lionsgate,Drama,$4Ê871Ê655,$6Ê740Ê839,$7Ê006Ê708,,,$4Ê000Ê000
156,The Prestige,Buena Vista,Thriller/Suspense,$19Ê207Ê527,$31Ê630Ê273,$53Ê089Ê891,$54Ê806Ê115,$45Ê348Ê399,$40Ê000Ê000
157,Stardust,Paramount Pictures,Adventure,$13Ê842Ê551,$22Ê501Ê872,$38Ê634Ê938,$96Ê921Ê737,$25Ê077Ê781,$70Ê000Ê000
158,Happy Feet,Warner Bros.,Musical,$62Ê178Ê720,$103Ê955Ê600,$198Ê000Ê317,$187Ê000Ê000,$203Ê202Ê864,$85Ê000Ê000
159,Alpha Dog,Universal,Drama,$8Ê796Ê815,,$15Ê242Ê450,$12Ê977Ê992,$12Ê376Ê741,
160,Epic Movie,20th Century Fox,Comedy,$21Ê143Ê563,$31Ê024Ê169,$39Ê739Ê367,$47Ê119Ê211,$16Ê820Ê895,$20Ê000Ê000
161,Blades of Glory,Paramount Pictures,Comedy,$45Ê382Ê907,$76Ê130Ê018,$118Ê594Ê548,$27Ê000Ê000,$49Ê169Ê389,$61Ê000Ê000
162,Dead Silence,Universal,Horror,$9Ê775Ê725,$14Ê145Ê450,$16Ê574Ê590,$4Ê040Ê071,$16Ê762Ê012,
163,Delta Farce,Lionsgate,Comedy,$4Ê285Ê912,$6Ê692Ê207,$8Ê130Ê530,,,
164,The Messengers,Sony Pictures,Horror,$17Ê524Ê018,$26Ê708Ê505,$35Ê374Ê833,$18Ê400Ê000,$15Ê902Ê523,
165,I Know Who Killed Me,Sony/TriStar,Thriller/Suspense,$5Ê066Ê322,,$7Ê233Ê485,,,
166,Who's Your Caddy?,MGM,Comedy,$3Ê711Ê337,,$5Ê694Ê308,,,
167,Notes on a Scandal,Fox Searchlight,Drama,,,$17Ê510Ê118,$32Ê242Ê273,$8Ê957Ê029,
168,I Think I Love My Wife,Fox Searchlight,Comedy,$7Ê279Ê181,$10Ê899Ê186,$12Ê559Ê771,$645Ê640,$13Ê549Ê608,$14Ê000Ê000
169,Charlotte's Web,Paramount Pictures,Drama,$18Ê809Ê466,$40Ê857Ê817,$82Ê985Ê708,$61Ê000Ê000,$83Ê550Ê733,$82Ê500Ê000
170,The Last Kiss,Paramount Pictures,Romantic Comedy,$5Ê936Ê292,$9Ê188Ê774,$11Ê614Ê790,,,
171,Because I Said So,Universal,Comedy,$16Ê584Ê590,$28Ê257Ê665,$42Ê674Ê040,$26Ê205Ê530,$23Ê917Ê497,
172,Unconscious,Regent Releasing,Comedy,,,$68Ê501,,,
173,Shooter,Paramount Pictures,Thriller/Suspense,$19Ê211Ê919,$30Ê855Ê582,$47Ê003Ê582,$48Ê200Ê000,$57Ê244Ê093,$60Ê000Ê000
